name,price,total_sold,link
Kugou 32 inch TV Android Wi-Fi FHD LED Smart TV RAM 2 GB ROM 16 GB,"৳ 14,978",315 sold(34)Dhaka,https://www.daraz.com.bd/products/kugou-32-wi-fi-fhd-led-ram-2-gb-rom-16-gb-i327736765.html
Sony Plus 32 inch Frameless Smart Android LED TV Full HD 4K Supported Television,"৳ 15,490",29 sold(16)Dhaka,https://www.daraz.com.bd/products/sony-plus-32-frameless-led-smart-tv-i321921917.html
LG Plus 32 Smart TV 4K Support FHD Frameless Android Smart LED TV,"৳ 14,250",421 sold(47)Dhaka,https://www.daraz.com.bd/products/lg-plus-32-4k-fhd-led-i327737334.html
Candy by Haier 32 Android Smart LED TV (C32K7G) with Free Bongo Subscription,"৳ 16,900",382 sold(124)Dhaka,https://www.daraz.com.bd/products/haier-32-led-c32k7g-i325307556.html
LG PLUS 32 4K Support FHD Smart TV Frameless Android Smart LED TV,"৳ 14,300",463 sold(82)Dhaka,https://www.daraz.com.bd/products/lg-plus-32-4k-fhd-led-i327742392.html
"43"" TV (4K Support) FHD Frameless Voice Control Android Smart TV","৳ 23,299",370 sold(40)Dhaka,https://www.daraz.com.bd/products/43-4k-fhd-i327734633.html
Haier 32 Inch Bezel Less Google TV H32K85FX,"৳ 20,490",68 sold(12)Dhaka,https://www.daraz.com.bd/products/haier-32-google-h32k85fx-i343646188.html
Sony Plus 43 inch Android Smart Wi-Fi HD LED TV 4K Supported RAM 2 GB ROM 16 GB (টিভি কিনলেই 200 + চ্যানেল ডিস ফ্রী),"৳ 21,450",1.1K sold(361)Dhaka,https://www.daraz.com.bd/products/sony-plus-43-wi-fi-hd-led-4k-ram-2-gb-rom-16-gb-200-i123397391.html
Sony Plus 32'' Smart Android Wi-Fi HD Led Tv 4K Supported Ram 2 gb Room 16 gb  ( টিভি কিনলেই 200 + চ্যানেল ডিস ফ্রী ),"৳ 13,900",733 sold(238)Dhaka,https://www.daraz.com.bd/products/sony-plus-32-hd-led-4k-ram-2-gb-16-gb-200-i123393682.html
LG PLUS 43 TV FHD Frameless Android Smart TV,"৳ 22,900",306 sold(37)Dhaka,https://www.daraz.com.bd/products/lg-plus-43-fhd-i327740561.html
ELITE 24 Inch 4K Supported ( Ram 1 gb Rom 8 gb ) Android Smart Television Wi-Fi HD Led Tv 4k Supported,"৳ 9,990",Dhaka,https://www.daraz.com.bd/products/24-4k-ram-1-gb-rom-8-gb-wi-fi-hd-led-4k-i347965359.html
Dahua LPH98-MC470-P 98 Inch 4K Smart Interactive Flat Panel Display,"৳ 1,000,000",Dhaka,https://www.daraz.com.bd/products/dahua-lph98-mc470-p-98-4k-i524054053.html
Sony Plus 32 inch Frameless Voice Control Smart Android LED TV Full HD 4K Supported Television,"৳ 15,950",25 sold(15)Dhaka,https://www.daraz.com.bd/products/sony-plus-32-inch-frameless-voice-control-smart-android-led-tv-i321730636.html
Craft Brand 32 inch 4k LED Smart TV - 2GB RAM/16 GB ROM A Grade,"৳ 12,520",748 sold(331)Dhaka,https://www.daraz.com.bd/products/craft-brand-32-inch-4k-led-smart-tv-2gb-ram16-gb-rom-agrade-i100311720.html
"24"" Android Smart tv HD Wifi, Lan, Dish ,HDMI ,USB,CCTV camera  all port available","৳ 10,050",Chattogram,https://www.daraz.com.bd/products/24-hd-wifi-lan-dish-hdmi-usbcctv-camera-all-port-available-i309541132.html
prime TV 32 inch FHD Frameless Voice Control Android Smart TV,"৳ 15,084",309 sold(25)Dhaka,https://www.daraz.com.bd/products/32-fhd-i327743220.html
Sony Plus 32 Frameless Smart Android LED TV,"৳ 14,350",342 sold(27)Dhaka,https://www.daraz.com.bd/products/sony-plus-32-led-i327734632.html
Vikan 32 Inch Smart Android Wi-Fi HD LED TV Ram 2GB Rom 16 GB 4K Supported টিভি কিনলেই 200 + চ্যানেল ডিস ফ্রী,"৳ 13,550",1.8K sold(603)Dhaka,https://www.daraz.com.bd/products/vikan-32-ram-2gb-rom-16-gb-wi-fi-hd-led-4k-110-i888111.html
"KuGou 24"" Frameless Smart TV","৳ 10,590",Dhaka,https://www.daraz.com.bd/products/kugou-24-i361892567.html
"Sony Plus 43"" TV FHD Frameless  Android Smart TV","৳ 22,490",311 sold(26)Dhaka,https://www.daraz.com.bd/products/sony-plus-43-fhd-i327734631.html
Sony Plus 43 Inch Smart Android Wi-Fi HD LED TV 4K Supported RAM 2 GB ROM 16 GB টিভি কিনলেই 200 + চ্যানেল ডিস ফ্রী,"৳ 21,450",303 sold(104)Dhaka,https://www.daraz.com.bd/products/sony-plus-43-wi-fi-hd-led-4k-ram-2-gb-rom-16-gb-200-i185886667.html
Sony Plus 32'' 4K Supported Android Smart Television Wi-Fi Hd Led TV 4K Supported RAM 2GB ROM 16GB Android version 11.0 Built-In,"৳ 12,990",22 sold(7)Dhaka,https://www.daraz.com.bd/products/sony-plus-32-4k-supported-android-smart-television-wi-fi-hd-led-tv-4k-supported-ram-2gb-rom-16gb-android-version-110-built-in-i335837620.html
"KuGou 32"" TV FHD Frameless Android Smart TV","৳ 15,590",215 sold(111)Dhaka,https://www.daraz.com.bd/products/kugou-32-fhd-i229095051.html
SONY PLUS 43 android version 11 Ram 2GB/16GB SMART HD TV,"৳ 20,990",149 sold(41)Dhaka,https://www.daraz.com.bd/products/sony-plus-43-11-ram-2gb16gb-hd-i281051610.html
MME 32 Inch Frameless Smart Android TV Latest Android Installed,"৳ 15,900",334 sold(184)Dhaka,https://www.daraz.com.bd/products/mme-32-i229388253.html
"prime TV 32"" TV FHD Frameless Voice Control Android Smart TV","৳ 16,264",336 sold(26)Dhaka,https://www.daraz.com.bd/products/32-fhd-i327735539.html
"24"" Frameless Smart TV WiFI Support APP Store 1GB Ram 8 GB ROM","৳ 12,001",(2)Dhaka,https://www.daraz.com.bd/products/24-wifi-1gb-ram-8-gb-rom-i361901471.html
Sony Plus 32 inch Frameless Voice Control Smart LED TV Wi-Fi Full HD 4K Supported Android Television by Shaman International,"৳ 12,989",Dhaka,https://www.daraz.com.bd/products/sony-plus-32-led-wi-fi-hd-4k-i470014478.html
24 Inch LED Smart TV 4K Supported - 2GB RAM/16GB ROM,"৳ 10,999",6 sold(1)Chattogram,https://www.daraz.com.bd/products/24-inch-led-smart-tv-4k-supported-2gb-ram16gb-rom-i101220080.html
